model,n_feat,AUC,CI_low,CI_high,macroF1,balAcc
TF-IDF char 3-5gram (reference ceiling),8375,0.8666666666666667,0.8160046304978126,0.9111909412629837,0.7582025829864447,0.7528822055137845
V2 + surface,37,0.7864661654135339,0.7189688906291761,0.8508339669262319,0.7099536351977902,0.7246031746031746
V2 rates (per 100 words),16,0.7709273182957393,0.6947664739261743,0.8406081111870585,0.7289959839357429,0.7392230576441102
Surface stats,7,0.7418546365914787,0.6771300894555607,0.8047105453026505,0.6438445853676786,0.6719715956558061
Transcript length only,1,0.6933166248955722,0.6180471117838453,0.7637258307193028,0.606303114847378,0.6385129490392648
V1 LLM features (categorical),41,0.6928153717627401,0.6169658108705899,0.7644851140003769,0.6139631192373809,0.6252297410192147
Majority class,0,0.5,,,0.41504854368932037,0.5
