model,n_feat,AUC,CI_low,CI_high,macroF1,balAcc
Surface stats only,7,0.7426900584795322,0.6788750529025674,0.8053454710894612,0.641642519444868,0.6622389306599833
V1 built-in prompt (OHE + L2 logreg),10,0.6928153717627401,0.6169658108705899,0.7644851140003769,0.6139631192373809,0.6252297410192147
V2 custom prompt -- frozen primary (V2_STABLE + surface),20,0.8058479532163743,0.737755015300918,0.8668410273170752,0.7444428882975531,0.7564327485380117
