representation,auc,balanced_accuracy,macro_f1,f1_positive,accuracy
Transcript length only,0.6933166248955722,0.6385129490392648,0.606303114847378,0.5082872928176796,0.6307053941908713
LLM features v1 (categorical),0.6939014202172097,0.6323725981620718,0.6198960219638998,0.49056603773584906,0.6639004149377593
v2 raw counts,0.8347535505430242,0.783375104427736,0.7606752730883812,0.6792452830188679,0.7883817427385892
v2 rates (length-normalised),0.7860484544695072,0.7447368421052631,0.7289730689553122,0.632258064516129,0.7634854771784232
v2 counts + rates,0.8323308270676691,0.7661654135338346,0.7457805907172996,0.6582278481012658,0.7759336099585062
