Representation,AUC,CI low,CI high,Macro F1,F1 (positive),Accuracy,Balanced acc.
TF-IDF char 3-5gram,0.8679197994987469,0.8154301486097237,0.9145190737229996,0.7582025829864447,0.6518518518518519,0.8049792531120332,0.7528822055137845
TF-IDF word 1-2gram,0.8415204678362573,0.7838276630051783,0.897476961230397,0.7600432900432901,0.6515151515151515,0.8091286307053942,0.7515873015873016
Surface + LLM features,0.7574770258980785,0.6856086847092914,0.8264585883052634,0.6925039872408294,0.5789473684210527,0.7344398340248963,0.7031746031746031
Surface statistics,0.7418546365914787,0.6723648071489585,0.8062347170073985,0.6438445853676786,0.5433526011560693,0.6721991701244814,0.6719715956558061
LLM features (logreg),0.6939014202172097,0.6159741117355814,0.7659494902687672,0.6198960219638998,0.490566037735849,0.6639004149377593,0.6323725981620718
Transcript length only,0.6933166248955722,0.6150640296145973,0.7640394924091335,0.606303114847378,0.5082872928176796,0.6307053941908713,0.6385129490392648
Majority class,0.5,,,0.4150485436893203,0.0,0.7095435684647303,0.5
