representation,auc,auc_sd,balanced_accuracy,macro_f1,f1_positive,accuracy
TF-IDF char 3-5gram,0.8679197994987469,0.009264452075361241,0.7528822055137845,0.7582025829864447,0.6518518518518519,0.8049792531120332
TF-IDF word 1-2gram,0.8415204678362573,0.008832918427408902,0.7515873015873016,0.7600432900432901,0.6515151515151515,0.8091286307053942
Surface + LLM features,0.7574770258980785,0.009753882380548978,0.7031746031746031,0.6925039872408294,0.5789473684210527,0.7344398340248963
Surface statistics,0.7418546365914787,0.008799181918536257,0.6719715956558061,0.6438445853676786,0.5433526011560693,0.6721991701244814
LLM features (logreg),0.6939014202172097,0.013440261648858233,0.6323725981620718,0.6198960219638998,0.49056603773584906,0.6639004149377593
Transcript length only,0.6933166248955722,0.002476726508735542,0.6385129490392648,0.606303114847378,0.5082872928176796,0.6307053941908713
Majority class,0.5,0.0,0.5,0.41504854368932037,0.0,0.7095435684647303
